bvid,pubdate,duration,title
BV1ME411d7mC,2019-10-13,367:58,{秘密录像屋}hape姐妹花的日常---多视角
BV1fE411Q7a7,2019-10-03,246:14,{秘密录像屋}女流生日会--2019.10.03
BV1xE411974p,2019-10-01,24:52,{秘密录像屋}DDJ 74751视角的橘子洲10.1焰火晚会  2019.10.01
BV1zE41197cR,2019-09-28,268:43,{秘密录像屋}test《乐来乐响》我是尧老师（部分）新录像机测试
BV17J411g7DR,2019-09-22,931:12,{秘密录像屋}Ts72小时音乐求生第八季深圳站day2 2019.09.21
BV1xJ411u7oZ,2019-09-21,886:14,{秘密录像屋}Ts72小时音乐求生第八季2019.09.20
BV1A4411674e,2019-08-25,181:39,{秘密录像屋}超级小桀生日会-------2019.08.25
BV114411d7RM,2019-08-21,1023:39,{秘密录像屋}菲秋乌镇游-------------2019.08.18-19
BV144411d7C8,2019-08-20,108:05,{秘密录像屋}斗鱼-变声主播猜猜猜
BV134411o7S6,2019-08-18,507:02,{秘密录像屋}斗鱼TV----卖血哥--等你来秀第二季8.17
BV1K4411D7QE,2019-08-13,597:13,{秘密录像屋}斗鱼天下第一斗歌大赛  2019.08.13----多视角
BV1f4411f7K5,2019-08-01,291:11,闸总女装
BV1L4411V7af,2019-06-14,25:24,斗鱼直播嘉年华----二珂
BV1E4411V7Yt,2019-06-14,18:09,地球是缘的
BV1J4411V7AQ,2019-06-14,05:03,积雾-----叶知秋
BV1y4411P7t6,2019-06-13,88:34,2019国际武汉斗鱼直播节红毯秀
BV1ct41147Vj,2019-01-05,162:28,斗鱼2018鱼乐盛典1月5日------颁奖典礼
BV1Qt411x7Xc,2019-01-05,151:53,斗鱼2018鱼乐盛典1月5日-----红毯部分
BV1Jt411B7rF,2019-01-01,240:06,{无头无尾录像屋}afreecatv-Chloe vf3366，过年辣
BV1yt411r7tp,2018-12-28,116:33,{秘密录像屋}DOUYU-Chloe5337244 来了老姐.2018.12.28
BV1zt411r7A4,2018-12-28,192:04,{秘密录像屋}afreecatv-Chloe 2018.12.27   emmmmm
BV1Vt411r7kW,2018-12-27,342:42,{秘密录像屋}.afreecatv-Chloe 2018.12.26  醒酒后，闲聊，小游戏
BV1pt411C7Tu,2018-12-26,130:07,{秘密录像屋}afreecatv-vf3366Chloe 2018.12.25     圣诞喝酒
BV1ut411C7Z2,2018-12-25,274:13,{秘密录像屋}DOUYU-Chloe5337244 -2018.12.24 OW！！！！！
BV1kt411e7sZ,2018-12-17,136:32,{秘密录像屋}DOUYU-Chloe5337244-20181209失落方舟
BV1Ft411D78d,2018-12-08,153:58,{秘密录像屋}DOUYU-Chloe5337244     2018-12-04
BV1Ft411D7bA,2018-12-08,159:55,{秘密录像屋}DOUYU-Chloe5337244    2018-12-07ow
BV1jt411y7xF,2018-11-23,198:12,斗鱼-斗鱼音乐盛典
BV1kt41117pw,2018-11-19,02:50,{秘密录像屋}钱佳泰国行之蒙眼泰拳，堂主VS叶子
BV15b411w7vu,2018-11-03,66:56,{秘密录像屋}74751我桀哥就没受过这样的委屈2018.11.03
BV19b411A7fL,2018-10-31,176:56,{秘密录像屋}DOUYU-Chloe5337244-2018-10-30
BV1st411R7dV,2018-10-21,225:08,{秘密录像屋}Chloe5337244_20181021
BV1Vt411o7Ke,2018-10-19,78:48,{秘密录像屋}大周6.6--2018.06.06 15-53-06
